"membership_hjid","member_hjid","parent_hjid","parent_sid"
25654,23590,23501,114
25473,23575,23501,114
27717,23708,23501,114
27470,23695,23501,114
28063,23726,23501,114
28611,23767,23501,114
28794,23779,23501,114
25144,23544,23501,114
26093,23621,23501,114
26422,23646,23501,114
28023,23724,23501,114
28950,23786,23501,114
24806,23522,23501,114
26184,23626,23501,114
26779,23664,23501,114
28850,23781,23501,114
28444,23753,23501,114
28648,23771,23501,114
25870,23605,23501,114
28286,23740,23501,114
28731,23774,23501,114
26013,23618,23501,114
25150,23545,23501,114
26616,23658,23501,114
26189,23627,23501,114
30054,23851,23501,114
30161,23858,23501,114
31152,23908,23501,114
29490,23815,23501,114
30042,23848,23501,114
30499,23874,23501,114
30395,23869,23501,114
26959,23672,23502,454
25279,23557,23502,454
28092,23728,23502,454
24492,23500,23502,454
26845,23666,23502,454
30388,23868,23502,454
27902,23717,23504,233
27014,23674,23504,233
26457,23647,23504,233
30289,23862,23504,233
30462,23871,23504,233
29872,23837,23504,233
26843,23666,23506,231
29414,23812,23506,231
28325,23746,23506,231
26269,23633,23506,231
27217,23683,23506,231
28091,23728,23506,231
28476,23754,23506,231
25806,23597,23506,231
29188,23800,23506,231
27189,23682,23506,231
28513,23758,23506,231
26958,23672,23506,231
26771,23663,23506,231
26085,23620,23506,231
25278,23557,23506,231
27799,23713,23506,231
27951,23721,23506,231
24789,23519,23506,231
28199,23734,23506,231
28250,23737,23506,231
28883,23783,23506,231
29388,23810,23506,231
26516,23650,23506,231
28581,23764,23506,231
24854,23523,23506,231
27252,23684,23506,231
24886,23524,23506,231
28644,23770,23506,231
29452,23813,23506,231
26456,23647,23506,231
26601,23657,23506,231
28925,23784,23506,231
30385,23868,23506,231
30698,23887,23506,231
31135,23905,23506,231
30675,23885,23506,231
31031,23902,23506,231
29525,23816,23506,231
29653,23821,23506,231
29991,23846,23506,231
30016,23847,23506,231
30464,23871,23506,231
30983,23900,23506,231
31096,23904,23506,231
29871,23837,23506,231
30047,23848,23506,231
30913,23898,23506,231
24633,23512,23509,165
24565,23510,23509,165
27025,23675,23509,165
25238,23555,23509,165
26220,23631,23509,165
25159,23552,23509,165
26007,23618,23509,165
26174,23626,23509,165
27421,23693,23509,165
28655,23772,23509,165
28788,23779,23509,165
27645,23706,23509,165
28207,23736,23509,165
27291,23688,23509,165
25575,23584,23509,165
26608,23658,23509,165
28588,23765,23509,165
29220,23803,23509,165
27475,23697,23509,165
27501,23699,23509,165
26963,23673,23509,165
25472,23575,23509,165
24710,23515,23509,165
26310,23637,23509,165
24799,23522,23509,165
24958,23531,23509,165
25286,23559,23509,165
26912,23671,23509,165
27809,23714,23509,165
28364,23750,23509,165
29120,23795,23509,165
25554,23581,23509,165
29336,23809,23509,165
27712,23708,23509,165
26680,23661,23509,165
25852,23603,23509,165
25728,23593,23509,165
25651,23590,23509,165
26074,23620,23509,165
26785,23665,23509,165
28337,23747,23509,165
27260,23685,23509,165
29260,23805,23509,165
24686,23514,23509,165
25481,23577,23509,165
25593,23587,23509,165
27084,23678,23509,165
27922,23721,23509,165
28946,23786,23509,165
27618,23705,23509,165
27881,23717,23509,165
27780,23713,23509,165
26719,23662,23509,165
25412,23572,23509,165
26099,23622,23509,165
26651,23660,23509,165
28727,23774,23509,165
30168,23859,23509,165
30203,23860,23509,165
30515,23879,23509,165
30026,23848,23509,165
31017,23902,23509,165
30834,23896,23509,165
30438,23871,23509,165
30476,23872,23509,165
31369,23921,23509,165
31420,23928,23509,165
31403,23927,23509,165
31385,23923,23509,165
31340,23917,23509,165
31106,23905,23509,165
30814,23894,23509,165
30540,23881,23509,165
30061,23852,23509,165
29533,23817,23509,165
29739,23831,23509,165
30000,23847,23509,165
30336,23866,23509,165
30992,23901,23509,165
31148,23908,23509,165
27355,23690,23521,234
26146,23624,23521,234
26904,23670,23521,234
26213,23628,23521,234
26493,23649,23521,234
26772,23663,23521,234
25051,23534,23521,234
26001,23616,23521,234
26415,23642,23521,234
28058,23725,23521,234
25892,23606,23521,234
25719,23592,23521,234
26387,23641,23521,234
28251,23737,23521,234
24922,23525,23521,234
25449,23574,23521,234
26491,23649,23521,234
27358,23690,23521,234
27980,23722,23521,234
29070,23789,23521,234
26301,23636,23521,234
27414,23692,23521,234
27214,23683,23521,234
26418,23642,23521,234
25083,23538,23521,234
26602,23657,23521,234
26579,23656,23521,234
27164,23681,23521,234
29212,23801,23521,234
28131,23731,23521,234
24919,23525,23521,234
30730,23888,23521,234
30578,23882,23521,234
29994,23846,23521,234
30425,23870,23521,234
29689,23824,23521,234
29938,23844,23521,234
31279,23911,23521,234
29990,23846,23521,234
30115,23855,23521,234
30428,23870,23521,234
31097,23904,23521,234
31282,23911,23521,234
28900,23784,23526,447
28730,23774,23526,447
31019,23902,23526,447
24860,23524,23527,407
26245,23633,23527,407
25254,23557,23527,407
28855,23783,23527,407
26427,23647,23527,407
26498,23650,23527,407
24766,23519,23527,407
26820,23666,23527,407
25533,23580,23527,407
26031,23619,23527,407
29366,23810,23527,407
28068,23728,23527,407
29167,23800,23527,407
30679,23887,23527,407
30889,23898,23527,407
30958,23900,23527,407
30227,23861,23527,407
30256,23862,23527,407
29842,23837,23527,407
30653,23885,23527,407
30735,23889,23527,407
30919,23899,23527,407
30363,23868,23527,407
24525,23503,23528,345
24559,23508,23528,345
24792,23519,23528,345
25867,23603,23528,345
26604,23657,23528,345
26934,23671,23528,345
27493,23697,23528,345
27523,23699,23528,345
28166,23733,23528,345
29132,23795,23528,345
29418,23812,23528,345
24761,23518,23528,345
24952,23530,23528,345
25084,23538,23528,345
25231,23554,23528,345
25250,23555,23528,345
25297,23559,23528,345
