"hjid","sid"
23500,374
23501,114
23502,454
23503,41
23504,233
23505,249
23506,231
23507,293
23508,35
23509,165
23510,40
23511,346
23512,252
23513,93
23514,298
23515,258
23516,43
23517,194
23518,201
23519,319
23520,72
23521,234
23522,92
23523,202
23524,94
23525,385
23526,447
23527,407
23528,345
23529,169
23530,311
23531,86
23532,67
23533,131
23534,42
23535,409
23536,288
23537,349
23538,381
23539,71
23540,68
23541,327
23542,348
23543,412
23544,91
23545,195
23546,373
23547,215
23548,450
23549,351
23550,310
23551,248
23552,85
23553,379
23554,257
23555,33
23556,466
23557,44
23558,309
23559,307
23560,460
23561,400
23562,433
23563,287
23564,318
23565,290
23566,344
23567,124
23568,166
23569,250
23570,64
23571,140
23572,31
23573,228
23574,144
23575,317
23576,170
23577,306
23578,383
23579,464
23580,432
23581,32
23582,411
23583,352
23584,370
23585,347
23586,171
23587,316
23588,434
23589,303
23590,256
23591,382
23592,200
23593,424
23594,251
23595,323
23596,372
23597,39
23598,371
23599,380
23600,66
23601,126
23602,462
23603,34
23604,125
23605,236
23606,95
23607,292
23608,88
23609,232
23610,235
23611,408
23612,178
23613,442
23614,280
23615,302
23616,54
23617,184
23618,104
23619,339
23620,377
23621,266
23622,286
23623,300
23624,151
23625,30
23626,395
23627,264
23628,325
23629,368
23630,415
23631,427
23632,362
23633,59
23634,75
23635,294
23636,38
23637,155
23638,73
23639,398
23640,336
23641,446
23642,157
23643,136
23644,56
23645,22
23646,47
23647,282
23648,417
23649,96
23650,324
23651,244
23652,394
23653,416
23654,225
23655,77
23656,113
23657,396
23658,148
23659,363
23660,115
23661,142
23662,342
23663,387
23664,26
23665,431
23666,152
23667,127
23668,189
23669,119
23670,254
23671,143
23672,101
23673,334
23674,102
23675,53
23676,58
23677,360
23678,111
23679,78
23680,206
23681,210
23682,322
23683,253
23684,275
23685,267
23686,129
23687,173
23688,321
23689,83
23690,283
23691,160
23692,209
23693,296
23694,99
23695,25
23696,188
23697,384
23698,332
23699,406
23700,183
23701,74
23702,107
23703,435
23704,112
23705,425
23706,376
23707,259
23708,340
23709,177
23710,80
23711,392
23712,243
23713,219
23714,255
23715,50
23716,172
23717,156
23718,422
23719,354
23720,29
23721,279
23722,320
23723,436
23724,390
23725,120
23726,106
23727,445
23728,268
23729,359
23730,246
23731,277
23732,27
23733,269
23734,162
23735,365
23736,343
23737,341
23738,240
23739,281
23740,331
23741,366
23742,364
23743,220
23744,130
23745,245
23746,312
23747,314
23748,357
23749,242
23750,272
23751,448
23752,367
23753,90
23754,149
23755,24
23756,137
23757,82
23758,276
23759,161
23760,110
23761,134
23762,176
23763,238
23764,196
23765,328
23766,404
23767,270
23768,185
23769,399
23770,223
23771,237
23772,97
23773,441
23774,403
23775,449
23776,295
23777,355
23778,174
23779,153
23780,278
23781,118
23782,353
23783,89
23784,109
23785,297
23786,117
23787,239
23788,48
23789,260
23790,164
23791,418
23792,337
23793,212
23794,308
23795,437
23796,218
23797,121
23798,175
23799,423
23800,429
23801,261
23802,52
23803,226
23804,413
23805,45
23806,87
23807,23
23808,439
23809,49
23810,141
23811,123
23812,46
23813,444
23814,389
23815,179
23816,375
23817,330
23818,63
23819,108
23820,440
23821,199
23822,401
23823,60
23824,338
23825,163
23826,181
23827,81
23828,135
23829,147
23830,145
23831,197
23832,356
23833,159
23834,358
23835,299
23836,386
23837,426
23838,305
23839,158
23840,329
23841,421
23842,405
23843,182
23844,222
23845,186
23846,211
23847,146
23848,430
23849,84
23850,420
23851,265
23852,378
23853,128
23854,414
23855,402
23856,203
23857,133
23858,122
23859,180
23860,391
23861,116
23862,98
23863,388
23864,301
23865,187
23866,150
23867,224
23868,313
23869,428
23870,284
23871,273
23872,393
23873,28
23874,397
23875,79
23876,216
23877,361
23878,271
23879,221
23880,419
23881,105
23882,262
23883,204
23884,57
23885,37
23886,190
23887,205
23888,333
23889,214
23890,241
23891,274
23892,132
23893,304
23894,208
23895,285
23896,103
23897,315
23898,326
23899,335
23900,154
23901,198
23902,100
23903,207
23904,263
23905,438
23906,61
23907,55
23908,36
23909,443
23910,213
23911,76
23912,461
23913,457
23914,458
23915,491
23916,459
23917,191
23918,456
23919,485
23920,455
23921,247
23922,468
23923,369
23924,489
23925,473
23926,472
23927,138
23928,192
23929,486
23930,289
23931,51
23932,230
23933,463
23934,410
23935,217
23936,193
23937,62
23938,229
23939,227
23940,291
23941,168
23942,65
23943,139
23944,167
23945,469
23946,484
23947,470
23948,471
8747629,494
8794696,-306
8794699,-300
8794702,-299
8794705,-298
8794708,-248
